,CountryName,MNOName,Rank,Virtual
98,Mexico,"weex (using Movistar)
","7
",True
99,Mexico,"Cierto (using Movistar)
","8
",True
100,Mexico,"Maz Tiempo (using Movistar)
","9
",True
101,Mexico,"Oui Móvil (using Telcel)
","10
",True
102,Mexico,"Flash Mobile (using Movistar)
","11
",True
103,Montserrat,FLOW,1,False
104,Montserrat,Digicel,2,False
105,Nicaragua,Claro(formerly Enitel),1,False
106,Nicaragua,Tigo,2,False
107,Panama,+móvil,1,False
108,Panama,Tigo,2,False
109,Panama,Claro,3,False
110,Panama,Digicel,4,False
111,Paraguay,Tigo [es],1,False
112,Paraguay,Personal [es],2,False
113,Paraguay,Claro [es],3,False
114,Paraguay,VOX [es],4,False
115,Peru,Movistar,1,False
116,Peru,Claro(Formerly TIM),2,False
117,Peru,Entel(Formerly Nextel),3,False
118,Peru,Bitel [es](Formerly Viettel Peru S.A.C.),4,False
119,Peru,"Cuy Móvil [es] (using Claro)
","5
",True
120,Puerto Rico and United States Virgin Islands,"Liberty[2](formerly AT&T)
",1,False
121,Puerto Rico and United States Virgin Islands,Claro,2,False
122,Puerto Rico and United States Virgin Islands,T-Mobile•Includes Metro by T-Mobile•Includes the previous Sprint network,3,False
123,Puerto Rico and United States Virgin Islands,TracFone Wireless,4,False
124,Saint Kitts and Nevis,FLOW,1,False
125,Saint Kitts and Nevis,Digicel,2,False
126,Saint Lucia,FLOW,1,False
127,Saint Lucia,Digicel,2,False
128,Saint Vincent and the Grenadines,FLOW,1,False
129,Saint Vincent and the Grenadines,Digicel,2,False
130,Suriname,Telesur,1,False
131,Suriname,Digicel,2,False
132,Trinidad and Tobago,Digicel,1,False
133,Trinidad and Tobago,bmobile,2,False
134,Turks and Caicos Islands,Digicel,1,False
135,Turks and Caicos Islands,FLOW (which acquired the assets of Islandcom Wireless),2,False
136,United States,Verizon Includes Visible by Verizon,1,False
137,United States,T-Mobile USIncludes Metro by T-Mobile,2,False
138,United States,"AT&T MobilityIncludes Cricket Wireless
",3,False
139,United States,"Dish WirelessIncludes Boost Mobile
",4,False
140,United States,"U.S. Cellular
",5,False
141,Uruguay,Antel,1,False
142,Uruguay,Movistar,2,False
143,Uruguay,Claro,3,False
144,Venezuela,Movilnet,1,False
145,Venezuela,Movistar,2,False
146,Venezuela,Digitel GSM,3,False
0,Algeria,Mobilis,1,False
1,Algeria,Djezzy,2,False
2,Algeria,Ooredoo(formerly Nedjma),3,False
3,Angola,Unitel,1,False
4,Angola,Movicel,2,False
5,Angola,Africell,3,False
6,Bahrain,Batelco,1,False
7,Bahrain,Zain(formerly MTC-Vodafone),2,False
8,Bahrain,stc,3,False
9,Benin,MTN,1,False
10,Benin,Moov,2,False
11,Benin,Glo,3,False
12,Benin,Libercom,4,False
13,Benin,BBcom,-,False
14,Burkina Faso,Orange,1,False
15,Burkina Faso,Telmob (Onatel),2,False
16,Burkina Faso,Telecel Faso,3,False
17,Burundi,Lumitel(Viettel Burundi S.A.),1,False
18,Burundi,Econet Leo,2,False
19,Burundi,ONAMOB,3,False
20,Burundi,Smart Mobile(formerly Lacell),4,False
21,Cabo Verde,CV Móvel,1,False
22,Cabo Verde,T-MAIS,2,False
23,Cameroon,MTN,1,False
24,Cameroon,Orange,2,False
25,Cameroon,Nexttel,3,False
26,Cameroon,Camtel,4,False
27,Cameroon,YooMee,5,False
28,Central African Republic,telecel,1,False
29,Central African Republic,Orange,2,False
30,Central African Republic,azur,3,False
31,Central African Republic,Moov Africa,4,False
32,Chad,Moov,1,False
33,Chad,Airtel,2,False
34,Comoros,HURI,1,False
35,Comoros,Telma,2,False
36,Congo,MTN,1,False
37,Congo,Airtel,2,False
38,Congo,Azur,3,False
39,Democratic Republic of the Congo,Vodacom,1,False
40,Democratic Republic of the Congo,Orange,2,False
